id,name,district,street,station,lines,d_m,area_m2,type,built_year,units_total,buildings,layout_main,large_unit,resettlement,confidence,note
117,泛海·拉菲花园,南山区,南山街道,荔湾,5,39.5,28947,住宅小区,2009,481-551,8,"50.62-275.12㎡，房网主力户型统计为""四房及以上×8""，叠院+小高层",是,无,确认,"深圳市光彩置业（泛海系）开发，月亮湾大道以东、荔湾路以西（前海路0189号，5号线荔湾站）。房网：2009-02-27开盘、总房源481、占地32106.36㎡、建面48160㎡、容积率1.5，介绍称""叠院和小高层组合""、""中高档泛豪宅项目""；贝壳记8栋551户、2009年。户型上限275㎡、主力四房以上 → 大户型为主。"
118,泛海·拉菲花园二期,南山区,南山街道,荔湾,5,38.5,23874,住宅小区,2012,652-684,8,"85-176㎡ Park House，房网主力""三房×7、四房及以上×2""",部分,无,确认,"同为光彩置业开发，前海路青青世界南侧大南山脚下。房网：2011-07-12开盘、2012-06-30交房、总房源684、占地24251.84㎡、建面60630㎡、容积率2.5、绿化率30%，介绍称""3栋9座高层、15-16层""、""户型面积85-176㎡""；贝壳记8栋652户、2010年建成，房天下记2012年。三房为主力、含176㎡四房，故""部分""。"
119,前海港湾花园,南山区,南山街道,荔湾,5,92.6,19216,住宅小区,2015-2018,692-728,5,76㎡两房 + 81-125㎡三房,部分,无,确认,"全称""深物业前海港湾花园""，深圳市物业发展（集团）开发，兴海大道与月亮湾大道交汇处/月亮湾大道2007号（5号线荔湾站）。房网原文""整体规划共5栋，总户数692套，76平米两房，81-125平米3房""，占地19894.11㎡（与OSM 19216㎡吻合）、建面63325.01㎡、2018-08-10开盘、车位710；贝壳记5栋728户、2015年建成，房天下记2017年。防混淆：蛇口另有""港湾花园""（蛇口新街22号、1997年、9栋415户）及""港湾生活小区""，非同一小区。"
120,观峰阁,南山区,南山街道,荔湾,5,32.2,5608,住宅小区,1998,140,7,未知（在售挂牌多为3房2厅）,未知,无,单一来源,港前路25号（5号线荔湾站旁，紧邻泛海拉菲花园二期），南油开发有限公司，物业费1-1.8元/㎡·月。贝壳：1998年建成、7栋140户、塔板结合；房天下同记1999年、南山-前海。7栋仅140户＋OSM占地5608㎡，属小体量多层；无户型面积数据，大户型留未知。
121,招商领玺家园,南山区,南山街道,铁路公园,5,184.7,13627,住宅小区,2019-2021,456,未知,未知（一期户型未查到明确面积；计容套均约142㎡，参考均价10.8万/㎡；同项目二期主力120-170㎡三至四房）,是,无,单一来源,"备案名""招商·领玺家园""、推广名""招商·领玺""，开发商深圳市前海蛇口启迪实业（招商蛇口平台公司），前海妈湾兴海大道与临海大道交汇处，物业费6.5元/㎡·月。房网：2019-11-28开盘、总房源456、占地13767.14㎡（与OSM 13627㎡吻合）、建面91860.57㎡、容积率4.72 → 计容套均约142㎡。市住建局城建档案2021年7月接收""招商领玺家园""（建设单位同）。同项目二期备案名""嵘玺家园""（255套、占地9311㎡、主力120-170㎡3-4房）。""家园""二字在深圳常见于人才房/安居房命名，但本项目房网物业类型登记为""商品住宅""、均价10.8万，未见保障房配售公告，故按商品住宅计；如需确认建议查前海管理局配售公告。"
122,前海颐湾府,南山区,南山街道,铁路公园,5,120.0,12410,住宅小区,2020-2021,367-610,4,120㎡与190㎡两种户型（房网原文）,是,无,确认,"备案名""颐城栖湾里""、推广名""颐湾府""，深国际前海置业＋深业置地，港城路与妈湾一路交汇处（前海19单元06地块，5号线铁路公园/妈湾站）。房网：占地12490.61㎡（与OSM 12410㎡吻合）、建面78313.04㎡、容积率4.35、总房源367、物业费6.5，介绍原文""4栋点式塔楼，两栋高约140米、两栋高约100米，设计了120㎡和190㎡两种户型""；贝壳记4栋610户、2020年建成，房天下记2021年。户数两源差异大（367 vs 610），均保留；户型全为120㎡+，大户型判""是""。"
123,招商前海·领尚公馆,南山区,南山街道,铁路公园,5,56.5,8667,商务公寓,2020,741-758,2,41-92㎡ 一房/二房（房网主力：一房×2、二房×1）,否,无,确认,"关键结论：非70年产权普通住宅。开发商深圳市前海蛇口启迪实业，前海深港合作区十九单元01街坊（5号线铁路公园站）。房网物业类型登记为""商业住宅、商业、写字楼""，2020-05-31开盘、总房源741、建面38693.27㎡、物业费7.5元/㎡·月，全部户型41-92㎡一二房；贝壳记2栋758户、2020年建成、塔楼。""公馆""＋商办登记＋高物业费＋小户型，判为商务公寓/商办混合，不带学位。"
124,龙海家园,南山区,南山街道,鲤鱼门,1,126.1,131597,安居房人才房,2015,未知,未知,单身公寓约35㎡ / 一房一厅约42㎡ / 二房约53㎡（市住房保障署配租通告原文）,否,无,确认,"官方定性：深圳市公共租赁住房（公租房），不是商品房。市住建局2015-01-30《关于龙海家园公共租赁住房终审合格家庭名单公示及选房签约等有关事项的通告》：2015-03选房、2015-05-16起入住；市住建局另称其为""我市最大规模保障房项目""；2025年官方""和美社区""专题写明""坐落于南山区南山街道桂湾社区的龙海家园，是地铁前海车辆段上盖保障性住房""。2021年残疾人定向配租通告给出地址""南山区桂湾三路与十一号路交叉路口东侧""及户型面积（35/42/53㎡）。因不可上市交易，贝壳、房天下、乐有家、深圳房网均无小区收录，总套数与栋数官方未披露 → 留未知，不编造。2024年10月市城建档案馆另接收""龙海家园项目（第二批次）""，建设单位深圳市地铁集团，说明有后续批次。"
125,四海小区,南山区,招商街道,四海,12,115.5,74010,住宅小区,1984,2362,42,未知（在售多为3房；80年代多层为主）,未知,无,单一来源,"蛇口工业八路与四海路交汇处（12号线四海站），开发主体招商局地产（招商局蛇口工业区早期建设），物业费仅1.2元/㎡·月。贝壳：1984年建成、42栋2362户；房天下记1998年建成（疑为部分楼栋改造或口径不同，两者都保留）。性质上属招商局蛇口工业区早期单位福利房，现已商品化、可正常二手交易，故归""住宅小区""而非""宿舍单位房""，但购房前应核实产权类型。无户型面积数据，大户型留未知。"
126,花园城三期,南山区,招商街道,四海,12,6.8,50938,混合,2004-2005,1254-1396,20,98-120㎡三房二厅 + 140-170㎡四房二厅，另配50-70㎡公寓产品,部分,无,确认,"招商房地产开发（蛇口花园城三期），工业大道与工业八路交汇处（12号线四海站）。房网：2004-05-17开盘、总房源1254、占地35340㎡、建面39323㎡、容积率2.5，物业类型登记""商品住宅、商业""，介绍原文""以98—120平方米的三房二厅和140-170平方米的四房二厅为主，并配以50-70平方米的公寓产品""；贝壳记20栋1396户、2004年，房天下记2005年。因同一小区内住宅＋公寓混合，type记""混合""（主体仍是住宅）。含140-170㎡四房，故大户型""部分""。"
127,翠竹园,南山区,招商街道,四海,12,115.8,35388,住宅小区,1993,266,11,未知（在售多为3-4房；11栋266户的低密度板楼）,未知,无,单一来源,"蛇口荔园路25号（12号线四海站），深圳招商地产开发，板楼。贝壳：1993年建成、11栋266户；房天下记1998年。OSM占地35388㎡÷266户≈133㎡/户土地，属低密度老小区，可能含大面积单位但无户型数据支撑，大户型留未知。防同名：罗湖区翠竹街道亦有多个含""翠竹""小区，此条以南山蛇口商圈+荔园路+招商地产交叉确认。"
128,晗山悦海,南山区,招商街道,四海,12,7.0,26330,混合,2019-2022,1144,未知,未知（房网户型库为空）,未知,无,单一来源,"备案名""晗山悦海城""，开发商深圳市华园房地产，南海大道与工业八路交汇处西北侧（12号线四海站，负一层规划公交首末站接驳9号线四海站）。房网物业类型登记为""其他、商品住宅、商业、写字楼""，项目特色含""精品公寓、综合体""，占地19341.92㎡、总建面232595.52㎡、容积率7.39、总房源1144、车位992 → 明确是住宅＋公寓＋商业＋写字楼的高容积率综合体，购买时需按栋/按房号区分产权性质。房天下记2019年建成；市住建局城建档案2022年12月与2023年2月分别接收本项目及""晗山悦海幼儿园""，故建成年份记2019-2022区间。贝壳无收录（可能因公寓/新盘）。"
129,花园城一期,南山区,招商街道,四海,12,11.2,22600,住宅小区,2000,701,15,未知（在售以1-3房为主）,未知,无,单一来源,招商地产开发，南海大道与东滨路交汇处（12号线四海站），物业费2.8元/㎡·月。贝壳：2000年建成、15栋701户；房天下同记2000年。房网无一期独立备案页（只有三期/五期），故户型面积未知。按招商花园城系列一期定位，套型应偏中小，但无数据支撑，大户型留未知。
130,招商四海臻邸二期,南山区,招商街道,四海,12,120.3,10289,住宅小区,2024-2025,208,4,约104-120㎡三至四房（房网备案介绍原文）,部分,无,确认,"备案名""四海名邸""、推广名""四海臻邸二期""，深圳招商房地产开发，南海大道东侧、工业九路南侧（蛇口花园城旁，宗地号K501-0002，12号线四海站）。房网原文：用地面积9849.92㎡（与OSM 10289㎡吻合）、总建面约44277.4㎡、规划共4栋（1栋约1500㎡文化室、1栋幼儿园、2栋高层住宅）、计容建面约27580㎡、共208户、户型约104-120㎡三至四房，为深圳建筑新规后首批入市产品。市城建档案馆2024年12月接收""四海臻邸""（建设单位深圳招商房地产），房天下记2025年建成。含120㎡四房，大户型判""部分""。"
131,豪方悠然居,南山区,招商街道,四海,12,8.4,8972,住宅小区,2004,374-394,4,"房网主力户型""二房×1、三房×1、四房及以上×2""；套均建面约133-140㎡",是,无,单一来源,"深圳市新豪方房地产开发、新豪方物业。房网备案名""悠然居""（蛇口工业大道西、工业八路南）：2003-08-16开盘、2004-03-18交房、占地8003.35㎡、建面52295㎡、容积率3.2、总房源374 → 套均约140㎡；贝壳/房天下作""豪方悠然居""（南海大道1081号）、4栋394户、2004年建成、蛇口。二者开发商与片区一致、占地与OSM 8972㎡接近，判为同一项目（存在地址表述差异，标记为同一项目的推断）。主力户型含四房及以上、套均>130㎡，大户型判""是""。"
132,花园城五期,南山区,招商街道,四海,12,117.1,7469,住宅小区,2010,315-326,2,68-138㎡ 一房两厅一院/二房两厅一院/三房两厅一院（几乎每户赠送空中庭院）,部分,无,确认,"招商房地产开发，蛇口沿山路东、南海大道西、工业八路南（12号线四海站）。房网：2010-01-05开盘、总房源326、占地9754.81㎡、建面27090㎡（介绍称27703.83㎡）、""由两栋住宅组成，分别为19层及32层，总户数324套，主力户型为68-138平方米""；贝壳记2栋315户、2010年。因赠送空中庭院可改造，二手挂牌常见4房2厅（贝壳历史挂牌中4室2厅占比最高），实际使用面积偏大，大户型判""部分""。"
133,龙电花园B区,南山区,招商街道,四海,12,44.4,6269,住宅小区,1994,158,未知,2房47㎡、3房2厅87-93㎡,否,未知,单一来源,位于蛇口南海大道鹏基龙电工业区内，开发商为深圳市鹏基龙电股份有限公司，原为工业区配套住宅，现为可交易商品房。建成年份口径冲突：乐有家记1994年，百度百科/搜索摘要记1997年。规划户数158户、建面1.25万㎡、容积率2.7。
134,招商四海臻邸,南山区,招商街道,四海,12,106.3,3600,住宅小区,2025,120（二期，1栋）；一期约122套,1（二期）,3-4房 91-117㎡（另有104-120㎡口径）,部分,无,单一来源,占地面积2996㎡与本条3600㎡接近，判定为四海臻邸二期（工业八路以北、蛇口花园城中心东侧，距12号线四海站约200m）。资料口径混乱：一期住宅122套、二期120户（另有212户说法）；交付时间有2025年6月/2025年9月30日/2026年9月多种说法。信息来源为搜狐楼盘推文（含软广性质），仅摘要级可信。学区：深大附属后海小学＋育才二中片区。
135,太子湾·湾玺,南山区,招商街道,太子湾,12,0.0,24550,混合,2016-2019（来源不一）,215–455（来源冲突）,1-5（来源冲突）,海景大平层 240-400㎡+,是,无,单一来源,招商蛇口太子湾一线海景高端项目，邮轮大道与望海路交汇处。数据严重冲突：乐有家记2019年建成/215户/建面6万㎡/物业用途含住宅+写字楼+商铺；另一摘要记5栋455户2016年；咚咚(szhome)把'太子湾湾玺'与'太子湾领航大厦'并列并描述为写字楼/办公+商业+会议厅共174套。因此不能确定纯住宅属性，判为混合，且存在与太子湾商务公寓产品混淆的风险。产权年限未查到明确来源。
136,太子湾·瑞玺,南山区,招商街道,太子湾,12,35.8,15502,商务公寓,未知（在建，规划2023-2025年完工）,191,1,大平层 215/308/415/620㎡,是,无,单一来源,凤凰房产项目页明确：产权年限40年、建筑类别为商业、地下1至地上5层商业＋地上8-59层'品质公寓'、规划191户、1栋、占地1.4万㎡（与本条15502㎡吻合）、开发商深圳市乐享置业。属深圳典型商办性质公寓（不带学位）。注意：有搜狐推文把'太子湾瑞玺大厦'写成608套住宅、126-425㎡——该组数字实为招商玺家园的数据，属张冠李戴，不采信。
137,太子湾·豫玺,南山区,招商街道,太子湾,12,152.1,7571,商务公寓,2021,175（商办165＋商业10）,1（22层）,商办公寓，层高4.45m（部分8.9m复式/LOFT）,未知,无,单一来源,仅摘要：产权40年（2016-2056），房屋性质标注为商办公寓，2021年11月交付准现楼，8梯9户/22层。属商办性质，不带学位。来源为搜狐楼盘推文，可信度中等，未找到第二独立来源，具体户型面积未知。
138,深铁·熙府,南山区,招商街道,左炮台东,12,191.6,39769,混合,2026（预计交付2026-12-31）,约2080（全项目，商品房＋可售型人才房各约16.6万㎡；人才房推售817-2080套口径不一）,未知（至少8-9个单元，A地块1栋9单元）,人才房 2房约70㎡ / 3房约90㎡；商品房部分主力3-4房,否,无（含可售型人才房）,确认,深圳地铁置地开发，南山区招商街道兴海大道与赤湾路交汇处西北角（蛇口赤湾）。项目为商品房＋可售型人才房混合大盘，占地12.2万㎡、建面约62万㎡、容积率3.69、车位1220。2023年人才房配售：2房70㎡共1065套（含64套无障碍）、3房90㎡共1015套，申请超万户、1350户入围。本条与id139为同一项目在OSM中的两块地（本条d_m=191.6m）。
139,深铁·熙府,南山区,招商街道,左炮台东,12,33.4,37213,混合,2026（预计交付2026-12-31）,约2080（全项目，与id138同一项目）,未知,人才房 2房约70㎡ / 3房约90㎡；商品房部分主力3-4房,否,无（含可售型人才房）,确认,与id138为同一项目'深铁熙府'的另一块OSM地块（d_m=33.4m）。全项目数据不可重复计入。商品房＋可售型人才房混合，2026年底交付。
140,荔园,南山区,招商街道,水湾,2/8,26.6,23436,住宅小区,1984,360,9（1-8栋住宅，9栋为员工宿舍楼）,2房60-68㎡、3房约76㎡,否,无,单一来源,全称'荔园小区'，蛇口太子路、水湾站D出口旁，开发商招商局蛇口工业区控股，1984年建成的蛇口第一批住宅之一。含1栋员工宿舍楼（9栋），物业用途混合住宅/工业/教育/医疗。建面2.198万㎡、车位260、绿化率26%。注意与沙河街道'荔园新村'（1997年、17栋816户）非同一小区。
141,水湾B区,南山区,招商街道,水湾,2/8,2.3,17646,住宅小区,1981,约260,10,2房68-75㎡、3房2厅约90㎡,否,无,单一来源,蛇口招商路，开发商招商局蛇口工业区控股，1981年建成（深圳最早一批住宅），板楼，占地6558㎡（本条OSM为17646㎡，OSM地块可能把周边一并圈入），物业费仅0.8元/㎡，绿化率42%。物业用途含住宅＋商铺。
142,壹间水湾北区,南山区,招商街道,水湾,2/8,69.3,8597,宿舍单位房,未知（推测1980年代原招商员工住宅；2019年前后改造）,未知,未知,未知（长租公寓化，以小户型为主）,否,未知,推测,OSM名称为开发商/运营方命名。'壹间公寓'是招商蛇口（招商伊敦）的长租公寓品牌，2012年起把蛇口原员工住宅区（首个为槟榔园）改造为精装纯租赁公寓，2019年在水湾片区发布'壹间公寓·水湾'与'壹间公寓·水湾1979'。据此推断本条为水湾北区原招商员工住宅改造的长租公寓（只租不售，无产权交易），非可买卖商品住宅小区。乐有家收录的'壹间公寓'（2011年、51户、四海路与工业九路）指槟榔园那一处，非本条，不可混用。建成年份、户数、栋数均未找到可靠来源。
143,华府假日大厦,南山区,招商街道,水湾,2/8,41.6,2069,住宅小区,2006,192,1（单体，含裙楼商业）,3房2厅2卫 88-104㎡（部分带书房）,否,无,确认,名含'大厦'但是70年产权普通住宅（乐有家明确：产权2006-2076年）。蛇口太子路，总建面2.34万㎡（其中商业4500㎡、住宅1.89万㎡），车位120，绿化率20%。OSM占地仅2069㎡符合单体塔楼。
144,半山海景·兰溪谷二期,南山区,招商街道,海上世界,12/2/8,198.1,50779,住宅小区,2007,约537,9-12（来源不一：乐有家9栋、咚咚11栋、另有12栋说法）,高层4房170-210㎡；复式/叠拼280-406㎡,是,无,确认,蛇口半山豪宅，工业四路与沿山路交汇（沿山路东侧）。占地约8.6万㎡、总建面14.69万㎡、绿化率50%、车位735、物业费4.5-5.0元/㎡，含塔楼＋板楼＋叠拼别墅。一期2004年建成、二期2007年竣工（乐有家另标'2007-2011'）。典型大户型豪宅。
145,海滨花园,南山区,招商街道,海上世界,12/2/8,58.5,35646,住宅小区,1983,596-616（来源不一）,36,一期多层2房50-78㎡、3房64-78㎡；二期高层209-255㎡,部分,无,确认,全称'海滨花园(蛇口)'，招商地产开发，兴华路与兴全路交汇、南海大道近海上世界。分两期：一期5栋多层＋4栋四层复式Townhouse（小户型50-78㎡），二期3栋20层高层为209-255㎡大户型，故大户型仅占部分。户数口径596/616两说。物业用途含住宅/写字楼/商铺。
146,龟山花园,南山区,招商街道,海上世界,12/2/8,161.8,34643,住宅小区,1983-2001（乐有家另记1996）,约50-52（口径不一）,37（含独栋/联排/双拼/叠拼别墅及塔楼）,别墅大户型 299-450㎡（5房及以上）,是,无,确认,"蛇口龟山别墅片区（南山路8号／龟山路10号，招商街道五湾社区），招商局蛇口工业区／招商地产开发，金地或招商局物业管理。同片区平台上并存三个条目：'龟山花园'(50户,1996)、'龟山花园别墅'(37栋,1983-2001)、'龟山小区'(52户,1985,5栋,320-450㎡)，疑为同一别墅区的不同拆分口径。绿化率70%，均价10-13万/㎡。典型豪宅别墅区，非普通住宅小区。"
147,美伦公寓,南山区,招商街道,海上世界,12/2/8,152.1,14177,混合,2008,190套公寓＋56间酒店客房,未知（北侧多层公寓＋中部联排复式公寓群＋南部酒店）,未知（服务式公寓，含联排复式）,未知,无,单一来源,全称'招商美伦公寓'，蛇口工业二路与工业三路之间、沿山路西侧（兰溪谷旁），开发商深圳招商房地产。宗地面积13198.22㎡（与本条14177㎡吻合），土地用途为居住用地，但产品定位为精品酒店＋高档服务式公寓（190套公寓＋56间客房77床位），容积率≤1.37。因此不是普通住宅小区，判为混合。总建面25142㎡，状态已售罄。产权年限、具体户型面积未查到。
148,泰格公寓,南山区,招商街道,海上世界,12/2/8,51.1,11839,商务公寓,2004,未知,未知,未知（服务式公寓）,未知,无,单一来源,仅摘要级信息：深圳蛇口泰格公寓2004年底建成，获USGBC LEED银级认证、列入建设部2005年科技综合示范项目；目前以'深圳泰格壹棠服务公寓'（招商伊敦旗下）形态运营，属服务式公寓/租赁为主，非可自由买卖的70年产权住宅小区。总户数、栋数、户型面积、产权年限均未找到可靠来源；房产平台（贝壳/乐有家）未见其小区详情页，进一步印证非普通商品住宅。
149,半山海景·兰溪谷 3期,南山区,招商街道,海上世界,12/2/8,178.3,6385,住宅小区,未知（推测2007年之后）,未知,未知,未知（推测大户型，同片区为170-400㎡）,未知,无,推测,公开资料（百度百科、咚咚、乐有家、安居客）只有兰溪谷一期(2004)与二期(2007)，没有任何'三期'条目。本条OSM占地仅6385㎡且紧贴二期地块（id144，中心点相距约100m），高度怀疑是二期内部的一个子地块或民间俗称，被OSM单独标为'3期'。判定依据仅为区位与相邻地块常识，未有独立来源，需实地/产权核实。
150,招商海月花园二期,南山区,招商街道,海月,2/8,15.6,85598,住宅小区,2002-2004（乐有家记2002，百科/焦点记2004）,1211,28-32（口径不一，乐有家/百科记32栋）,在售以235-302㎡大平层/多房为主；全盘按1211户÷建面约19万㎡计均值约150㎡,是,无,确认,占地86723㎡与本条OSM 85598㎡高度吻合，可确认对应关系。后海滨路（海月路）与工业八路交汇，招商物业，容积率1.95，绿化率55%，普通住宅70年产权。均价约8-10万/㎡。
151,招商海月花园五期,南山区,招商街道,海月,2/8,73.6,28756,住宅小区,2009,约647,5,3房142-160㎡；5房153-192㎡,是,无,单一来源,月华路与海月路交汇处（后海）。建面7.62万㎡、车位504、绿化率35%、物业费3.3-3.8元/㎡、均价约11万/㎡。海月花园分一/二/三/五期（无四期），本条为五期，与其他期数据不可混用。
152,招商海月花园三期,南山区,招商街道,海月,2/8,199.1,28601,混合,2005（2004年10月开盘）,约528,7（咚咚/摘要口径）,3房约118㎡；5房约208㎡,是,无,确认,后海大道与工业七路交汇处，招商地产开发，建面约17万㎡、容积率2.46、绿化率67%。乐有家标注物业用途为'住宅｜写字楼｜商铺'，即含写字楼部分，故判为混合（住宅仍为主体，70年产权商品房）。
153,天骄华庭,南山区,招商街道,海月,2/8,23.8,24398,住宅小区,2004,426-526（口径冲突，乐有家记约472）,5-7（口径冲突，乐有家记5栋，另有6/7/15栋说法）,大户型225-260㎡为主，另有40-205㎡多种面积段,是,未知,单一来源,后海滨路与工业八路交汇处西南（工业八路123号），开发商深圳市兰江房地产，荷兰罗伯特物业。容积率5.37（偏高）、绿化率35%、车位438、建面8.06万㎡。各平台户数/栋数差异大（426/472/526户；5/6/7/15栋），已如实标区间。存在40㎡等小面积单位，可能含公寓型单位，大户型为主但非全部。
154,30栋,南山区,招商街道,海月,2/8,141.7,733,住宅小区,1999（推测，随海月花园一期）,未知,1（单体楼）,未知（推测2房72㎡／3房96-108㎡）,否,未知,推测,OSM以纯楼栋号命名的单体住宅楼，占地仅733㎡。位于海月站旁、招商海月花园二期与天骄华庭之间。招商海月花园一期共33栋（5栋电梯房＋28栋楼梯房）、1124户、1999年建成、主力72-108㎡，楼栋编号覆盖到30栋以上，且约730㎡的占地正符合多层楼梯房单体，故推测本条为招商海月花园一期内的30栋。仅为区位＋编号＋占地推理，无直接来源，不能作为独立小区计数（与id155/156/157同属一组，且可能与id150二期地块重复统计）。
155,32栋,南山区,招商街道,海月,2/8,68.5,732,住宅小区,1999（推测，随海月花园一期）,未知,1（单体楼）,未知（推测2房72㎡／3房96-108㎡）,否,未知,推测,同id154：OSM纯楼栋号单体楼（占地732㎡），推测为招商海月花园一期32栋（一期共33栋、1124户、1999年）。无直接来源，属推理；与id154/156/157同组，勿重复计为独立小区。
156,31栋,南山区,招商街道,海月,2/8,103.4,732,住宅小区,1999（推测，随海月花园一期）,未知,1（单体楼）,未知（推测2房72㎡／3房96-108㎡）,否,未知,推测,同id154：OSM纯楼栋号单体楼（占地732㎡），推测为招商海月花园一期31栋。无直接来源，属推理；与id154/155/157同组。
157,29栋,南山区,招商街道,海月,2/8,187.4,732,住宅小区,1999（推测，随海月花园一期）,未知,1（单体楼）,未知（推测2房72㎡／3房96-108㎡）,否,未知,推测,同id154：OSM纯楼栋号单体楼（占地732㎡），推测为招商海月花园一期29栋。无直接来源，属推理；与id154/155/156同组。
158,水湾小区,南山区,招商街道,花果山,12,190.5,8448,混合,1989（乐有家口径，与6栋692户存在矛盾）,约692（存疑）,6（存疑）,3房90-113㎡,否,未知,单一来源,"乐有家'水湾小区'：蛇口太子路与荔园路交汇处，1989年建成，6栋约692户，98/90/113㎡三房，开发商深圳市又一居房地产，物业用途标注'住宅｜工业'、产权性质标注'商品房｜经济适用房｜自建房（集资房）'——即混合了集资房/自建房成分，故判为混合。口径存疑：1989年建成的6栋要容纳692户需高层塔楼，与年代不符，且本条OSM占地仅8448㎡、坐标(22.4945,113.9142)比太子路×荔园路偏北约200m，不排除OSM所指为'水湾'片区另一处房屋群（如水湾一村/水湾头自建房）。建议实地核实。"
159,安南花园小区,南山区,招商街道,花果山,12,200.0,3328,不确定,未知,未知,未知,未知,未知,未知,推测,查无此小区：贝壳、乐有家、安居客、房天下、咚咚均未收录'安南花园'（深圳南山/蛇口）；必应、DuckDuckGo（触发验证码）亦无有效结果，本次会话WebSearch额度已用尽，未能进一步交叉验证。本条OSM占地仅3328㎡、位于花果山站(12号线)边缘200m整，与id160'众德汇爱心家园'相距约50m，推测同为蛇口老城区一处小型自建房/老旧宿舍类院落的民间俗称，而非在售商品住宅小区。所有字段均按'未知'处理，不做任何推断填数。
160,众德汇爱心家园,南山区,招商街道,花果山,12,166.3,1245,不确定,未知,未知,未知,未知,未知,未知,推测,查无资料：名称含'爱心家园'，通常指公益/助残/养老/救助类机构用房，而非商品住宅小区；房产平台无任何收录，必应/DuckDuckGo无有效结果（DDG触发验证码），WebSearch额度已耗尽。OSM占地仅1245㎡。判定为疑似非住宅（公益机构或福利性用房）被误纳入住宅性用地清单，建议从住宅清单中剔除或人工复核。不填任何推断数字。
161,顾家青年公寓,南山区,招商街道,花果山,12,38.5,1160,不确定,未知,未知,1（OSM为单体楼，占地1160㎡）,未知（青年公寓通常为单间/一房小户型）,否,未知,推测,查无资料：房产平台（贝壳/乐有家/安居客/房天下）无'顾家青年公寓'条目，搜索引擎无有效结果，WebSearch额度已耗尽。src=楼栋、占地仅1160㎡，属单体楼。'青年公寓'在深圳一般为品牌长租公寓或改造宿舍（只租不售、无产权交易、不带学位），因此几乎可以排除'70年产权普通住宅小区'，但无法确认是商务公寓还是宿舍改造，故 type 记为不确定。large_unit 填'否'依据为青年公寓产品形态常识（推测）。
162,鲸山别墅,南山区,招商街道,蛇口港,12/2/8,199.3,233979,住宅小区,1986年起分期开发（1-8期），九期(鲸山觐海)2014年竣工,未知（1-8期招商自持只租不卖；九期369套住宅）,未知（九期25栋；乐有家'鲸山别墅'条目仅记14栋14户，为局部口径）,独栋/联排别墅及大平层，普遍300㎡以上,是,无,单一来源,招商局开发的蛇口顶级别墅区，1986年起开发至八期，1-8期由招商自持、只租不卖（无房本可售），仅九期'鲸山觐海'(2014年竣工、25栋、369套)对外销售。本条OSM占地23.4万㎡符合整片别墅区范围。因1-8期不可售，各平台户数/栋数口径混乱（乐有家'鲸山别墅'只列14栋14户），故总户数按未知处理。自带鲸山美伦会所。
163,招商玺家园,南山区,招商街道,蛇口港,12/2/8,166.0,42910,住宅小区,2024,604-1200（口径冲突：一期规划604户/预推608套；乐有家整体约1200户）,5,3房126-127㎡（536套）＋5房425㎡（68套）,是,无,确认,招商蛇口太子湾片区70年产权商品住宅（非安居房/人才房），望海路与居海路交汇处东南角、蛇口港站C口步行约170m。总用地51656.15㎡（本条OSM 42910㎡为其中一块）、建面17.23万㎡、容积率2.29、车位1219、物业费13.2-13.5元/㎡、均价约16.9万/㎡（招商局物业）。项目曾由2期调整为3期开发，故户数口径604→1200存在分期差异。仅有126㎡和425㎡两种户型，全部≥120㎡，属纯大户型盘。
164,前海宸湾,南山区,招商街道,赤湾,2/5/8,19.7,10533,混合,2023-2024（首批2023年6月，2024年12月交楼完成）,260,3（2栋住宅＋1栋写字楼/酒店）,3房109-111㎡、4房121-143㎡,部分,无,单一来源,南山区招商街道港航路66号，2/5号线赤湾站B出口旁（蛇口国际海洋城）。住宅部分为70年产权商品房，非人才房/安居房；地块同时含1栋约200m的办公＋酒店，故判为混合。开发商深圳市壮大新鸿湾实业、深圳蛇口赤湾实业股份。占地约1.28万㎡（与本条10533㎡接近）。来源多为搜狐/焦点楼盘推文（含软广性质），仅摘要级可信；'建筑面积约146万㎡'一说明显为笔误，不采信。
165,朗麓家园,南山区,桃源街道,塘朗,5,95.8,153141,安居房人才房,2015（2015年7月开盘，2015年12月下旬交房）,3825（全项目；焦点网记D区3000多户）,12（D区；另有平台记4栋730户为局部口径）,1房32㎡、2房53-54㎡、3房84-87㎡,否,无（保障性住房：公租房＋人才房）,确认,"备案名'塘朗车辆段项目'，5号线塘朗站上盖保障性住房，位于塘朗山北侧、留仙大道与南坪快速路之间，毗邻大学城。深圳地铁集团开发、深圳地铁物业管理。建面33.3万㎡、住宅面积25.3万㎡、3825套；焦点网标物业类型'公租房'、产权70年、物业费2.88元/㎡，2017年租金23.1元/㎡·月；深圳安居网标'人才房'——两种口径均属保障房体系。户型全部≤87㎡，无大户型。链家条目'4栋730户'坐标(114.0022,22.5925)与本条(113.9923,22.5899)不同，疑为项目内某一区或另一登记单元，不采用为全盘数据。"
166,华晖云门,南山区,桃源街道,塘朗,5,62.3,23796,住宅小区,2015,1176,5,2-4房 71-142㎡（3房为主）,部分,无,确认,别名/曾用名「科大雅苑」；留仙大道北侧、5号线塘朗站旁，毗邻南科大。纯商品住宅（非商务公寓），占地约22670㎡与OSM 23796㎡吻合，建面约12.5万㎡、容积率5.5、车位约1176个。交房年份有2015与2016两说；总户数1176套（另一源记总房源1104）。
